,Total,price not NULL,diff
Maruti Swift Dzire VDI,210,0,210
Maruti Alto 800 LXI,189,166,23
Maruti Wagon R VXI,163,135,28
Maruti Swift VDI,150,0,150
Maruti Alto K10 VXI,121,0,121
Maruti Swift VDI BSIV,112,0,112
Maruti Swift Dzire VXI,104,92,12
Maruti Swift VXI,100,87,13
Maruti Alto LXi,98,0,98
Hyundai Grand i10 Sportz,94,79,15
Hyundai i10 Magna,92,0,92
Maruti Wagon R LXI,91,77,14
Renault KWID RXT,81,69,12
Hyundai EON Era Plus,81,0,81
Maruti Swift Dzire VDi,78,0,78
Maruti Wagon R LXI CNG,75,62,13
Maruti Alto K10 2010-2014 VXI,71,0,71
Honda City 1.5 S MT,69,57,12
Mahindra XUV500 W8 2WD,66,54,12
Hyundai Santro Xing GLS,63,0,63
Hyundai Grand i10 Magna,60,52,8
Maruti Vitara Brezza ZDi Plus,57,0,57
Honda Brio S MT,56,0,56
Maruti Ertiga VDI,54,0,54
Maruti Baleno Delta 1.2,53,43,10
Renault KWID 1.0 RXT Optional,53,43,10
Ford Figo Diesel Titanium,52,48,4
Maruti Vitara Brezza ZDi,51,0,51
Honda Amaze S i-Dtech,51,44,7
Hyundai Verna 1.6 SX,50,44,6
Hyundai Grand i10 1.2 Kappa Sportz BSIV,49,46,3
BMW 5 Series 520d Luxury Line,48,41,7
Hyundai i10 Era,48,0,48
Maruti Baleno Alpha 1.2,48,40,8
Hyundai i10 Sportz,48,0,48
Hyundai i20 Sportz 1.4 CRDi,48,40,8
Maruti Ritz VDi,47,0,47
Mahindra XUV500 W6 2WD,46,42,4
Hyundai i20 Sportz 1.2,45,41,4
Renault Duster 85PS Diesel RxL,45,0,45
Hyundai i20 Asta 1.4 CRDi,44,35,9
Hyundai Creta 1.6 CRDi SX,44,38,6
Volkswagen Vento Diesel Highline,44,0,44
Maruti Alto 800 VXI,43,38,5
Honda Amaze S i-Vtech,42,31,11
Hyundai Grand i10 CRDi Sportz,42,0,42
Honda WR-V i-DTEC VX,42,36,6
Maruti Celerio VXI AT,41,37,4
Maruti Swift Dzire LDI,41,0,41
Honda City i VTEC CVT VX,41,32,9
Honda City i DTEC SV,41,38,3
Maruti Vitara Brezza VDi,40,0,40
Maruti Ertiga VXI CNG,40,31,9
Hyundai Creta 1.6 CRDi AT SX Plus,40,36,4
Toyota Etios GD,40,0,40
Maruti Swift Dzire ZDI,40,0,40
Maruti Vitara Brezza VDi Option,39,0,39
Maruti Ertiga SHVS VDI,39,0,39
Maruti Celerio VXI,39,32,7
Hyundai i20 1.2 Spotz,39,36,3
Maruti Ertiga ZDI,39,0,39
Chevrolet Beat LT,38,0,38
Hyundai EON Magna Plus,38,0,38
Maruti Alto K10 LXI,38,0,38
Maruti Eeco 5 Seater AC BSIV,37,33,4
Maruti Baleno Zeta 1.2,37,32,5
Toyota Innova 2.5 G (Diesel) 7 Seater,37,0,37
Tata Tiago 1.2 Revotron XZ,37,30,7
Hyundai i20 1.2 Asta,37,31,6
Hyundai Grand i10 Asta Option,36,27,9
Maruti Vitara Brezza ZDi Plus Dual Tone,36,0,36
Honda City i VTEC SV,36,33,3
Honda WR-V i-VTEC VX,36,33,3
Hyundai i20 Asta 1.2,36,32,4
Honda City 1.5 V MT,35,30,5
Renault KWID RXL,35,31,4
Volkswagen Polo GT TSI,35,30,5
Renault Duster 110PS Diesel RxL,35,0,35
Honda City V MT,35,29,6
Ford Figo Diesel ZXI,35,32,3
Maruti Alto LX,35,0,35
Ford Figo Diesel EXI,35,32,3
Volkswagen Polo 1.5 TDI Highline,35,0,35
Ford Ecosport 1.5 DV5 MT Titanium,34,29,5
Chevrolet Beat Diesel LT,34,0,34
Honda Amaze VX i-DTEC,34,31,3
Renault Duster 110PS Diesel RxZ,34,0,34
Mahindra TUV 300 T8,34,0,34
Toyota Fortuner 3.0 Diesel,33,30,3
Maruti Ciaz VDi Plus SHVS,33,0,33
Hyundai i10 Sportz 1.1L,33,0,33
Maruti Ritz LDi,33,0,33
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,33,29,4
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,32,29,3
Maruti Swift Dzire VXi,32,28,4
Tata Tiago 1.2 Revotron XT,31,25,6
Toyota Innova 2.5 G (Diesel) 8 Seater,31,0,31
Maruti Swift Dzire VXI 1.2,31,28,3
Honda City i DTEC VX,31,26,5
Toyota Etios G,31,0,31
Hyundai Creta 1.6 CRDi SX Option,30,27,3
Hyundai Grand i10 CRDi Magna,30,0,30
Maruti Ertiga VXI,30,21,9
Maruti Wagon R VXI BS IV,30,28,2
Hyundai i20 1.2 Sportz,30,27,3
Hyundai i20 Magna 1.2,30,27,3
Hyundai i10 Magna 1.1L,30,0,30
Hyundai i20 1.2 Magna,30,23,7
Honda City i VTEC V,30,27,3
Toyota Etios Liva G,30,0,30
Volkswagen Vento 1.5 TDI Highline,30,0,30
Hyundai Grand i10 1.2 Kappa Magna BSIV,29,26,3
Chevrolet Beat Diesel LS,29,0,29
Maruti Ciaz ZDi Plus SHVS,29,0,29
Mahindra XUV500 W10 2WD,29,22,7
Maruti Swift Dzire VXI 1.2 BS IV,29,24,5
Toyota Etios Liva GD,29,0,29
Hyundai Santro Xing GL,28,0,28
Chevrolet Beat LS,28,0,28
Hyundai EON D Lite Plus,28,0,28
Maruti Swift VXI Optional,28,26,2
Mahindra Thar CRDe,28,25,3
Maruti Alto LXi BSIII,28,0,28
Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,28,23,5
Volkswagen Polo 1.2 MPI Comfortline,27,20,7
Mahindra Bolero 2011-2019 SLX,27,24,3
Hyundai Verna 1.6 SX CRDi (O),27,24,3
Datsun RediGO T Option,27,21,6
Tata Safari Storme EX,27,0,27
Volkswagen Polo 2015-2019 GT TSI,26,23,3
Hyundai i10 Magna 1.2,26,22,4
Hyundai Grand i10 1.2 Kappa Asta,26,20,6
Maruti Baleno Delta,26,23,3
