,0
0,5.5 
1,2.15 
2,5.7 
3,3.5 
4,3.15 
5,4.1 
6,10.5 
7,5.11 
8,4.25 
9,14.25 
10,6 
11,5.75 
12,4.25 
13,12.25 
14,7.5 
15,3.5 
16,1.45 
17,11.5 
18,3.4 
19,4.65 
20,6 
21,8.5 
22,5.98 
23,7 
24,5.9 
25,8.5 
26,5.5 
27,6.25 
28,6 
29,4.45 
30,5.3 
31,4.1 
32,3.5 
33,5.2 
34,7.5 
35,6.55 
36,5.5 
37,11.5 
38,9.9 
39,5.51 
40,16.5 
41,5 
42,5.75 
43,5.25 
44,4 
45,1.55 
46,5.45 
47,2.4 
48,4.8 
49,3.75 
50,4 
51,5.5 
52,10.5 
53,4.5 
54,7.75 
55,3.5 
56,5.5 
57,10.8 
58,5.75 
59,2.3 
60,2.7 
61,1.3 
62,3.7 
63,5.7 
64,2.8 
65,12.5 
66,5.9 
67,4.75 
68,6.85 
69,3.8 
70,3.3 
71,6.5 
72,3.25 
73,6.4 
74,9.49 
75,6.6 
76,4.35 
77,3.85 
78,12.5 
79,1.55 
80,11.5 
81,3.5 
82,11.25 
83,26 
84,4.8 
85,11 
86,5.75 
87,1.6 
88,3.4 
89,9.25 
90,4 
91,7.25 
92,5.5 
93,5.85 
94,4.11 
95,4.5 
96,12.9 
97,4.55 
98,7.1 
99,7.7 
100,29 
101,7.2 
102,4 
103,6 
104,5 
105,6.5 
106,6.6 
107,20.9 
108,12.75 
109,4.75 
110,5.3 
111,5.3 
112,6.5 
113,3.35 
114,3 
115,5.5 
116,2.6 
117,5.5 
118,6.5 
119,13 
120,5.05 
121,3.1 
122,5.45 
123,1.5 
124,5.8 
125,2.5 
126,6.5 
127,5.31 
128,8.9 
129,4.35 
130,1.85 
131,4.4 
132,4.5 
133,6 
134,3.2 
135,6.3 
136,3.2 
137,4.65 
138,5.5 
139,4.45 
140,2.7 
141,4.75 
142,17.55 
143,3.5 
144,5.75 
145,3.6 
146,2.75 
147,3.2 
148,3.7 
149,2.75 
150,5.5 
151,2.72 
152,5.45 
153,4.5 
154,4.8 
155,10.6 
156,2.35 
157,5.9 
158,"71,000"
159,29.5 
160,2.8 
161,18.51 
162,7.5 
163,4 
164,8.7 
165,2.95 
166,5.3 
167,3.5 
168,4.7 
169,3.9 
170,9.2 
171,5.5 
172,6.35 
173,12.5 
174,3 
175,9.6 
176,2.49 
177,2.5 
178,6.1 
179,5.45 
180,4.8 
181,3.95 
182,5.5 
183,4.7 
184,3.4 
185,10.5 
186,4.91 
187,28.9 
188,9.85 
189,3.35 
190,7.4 
191,3.75 
192,1.73 
193,8.5 
194,2.85 
195,11 
196,10.8 
197,5.3 
198,10.25 
199,6.5 
200,6.86 
201,2 
202,2.5 
203,6.5 
204,6.2 
205,5.1 
206,3.75 
207,6.2 
208,9.5 
209,14.5 
210,8.45 
211,3.95 
212,4.5 
213,3.25 
214,6.5 
215,12.5 
216,2.99 
217,70 
218,13.25 
219,1.69 
220,4 
221,5.65 
222,3.35 
223,3 
224,10.51 
225,3.7 
226,2 
227,12.9 
228,8.9 
229,4.2 
230,5 
231,6 
232,5 
233,4.5 
234,6.5 
235,82.5 
236,5 
237,3.25 
238,4.35 
239,4.55 
240,62 
241,7.55 
242,13.5 
243,3.1 
244,12.35 
245,5 
246,14.5 
247,5.3 
248,5.75 
249,5.5 
250,6.43 
251,10 
252,5.5 
253,4.7 
254,5.25 
255,4.69 
256,2 
257,4 
258,3.4 
259,7.75 
260,6.7 
261,10.5 
262,79 
263,3.6 
264,4 
265,4.7 
266,3.04 
267,4.9 
268,8.64 
269,4.8 
270,5.75 
271,6.86 
272,"55,000"
273,16.99 
274,6.8 
275,12 
276,9.55 
277,3.5 
278,8 
279,8.25 
280,14.76 
281,6.7 
282,4.9 
283,5.5 
284,15 
285,1.9 
286,6.5 
287,4.55 
288,3.65 
289,4.7 
290,29.5 
291,15.19 
292,3.25 
293,6 
294,3 
295,3 
296,3.45 
297,9 
298,10.25 
299,14.5 
300,4 
301,3.67 
